text,label
I want to die,suicidal
I can't keep going anymore,suicidal
I'm planning to end it all tonight,suicidal
I wish I was never born,suicidal
I've already written my goodbye note,suicidal
I don't want to wake up tomorrow,suicidal
I have everything ready to do it,suicidal
I'm going to kill myself soon,suicidal
Farewell everyone,suicidal
I'm thinking about jumping off the bridge,suicidal
There is no point in living,suicidal
I'm ready to quit this life,suicidal
I will not be here much longer,suicidal
I'm ending my story tonight,suicidal
My life feels completely meaningless,suicidal
No one would even notice if I was gone,suicidal
I feel like a burden to everyone around me,suicidal
What's the point of my worthless life?,suicidal
I just want the pain to stop forever,suicidal
I'm tired of pretending I'm okay,suicidal
Everything would be better without me,suicidal
I can't see any future for myself,suicidal
I'm done fighting every single day,suicidal
I want to disappear and never come back,suicidal
No one loves me and never will,suicidal
I'm so worthless I don't deserve to exist,suicidal
The world is better off without me,suicidal
I keep thinking about ways to end it,suicidal
I feel empty inside and it never stops,suicidal
Nothing matters anymore,suicidal
I just want to sleep and never wake up,suicidal
I'm at the edge and I don't want saving,suicidal
My existence is a mistake,suicidal
I hate being alive,suicidal
Every day feels like too much,suicidal
I don't belong here,suicidal
I'm ready to let go completely,suicidal
There is nothing left worth staying for,suicidal
I feel invisible and forgotten,suicidal
I want it all to just stop,suicidal
I'm exhausted from existing,suicidal
No one cares if I live or die,suicidal
My life has zero value,suicidal
I keep imagining the moment it ends,suicidal
I'm too broken to fix,suicidal
I wish I could vanish right now,suicidal
Everything inside me is dark,suicidal
I don't see any reason to continue,suicidal
I'm just waiting for the courage,suicidal
The thought of ending it brings relief,suicidal
I feel like I'm already gone,suicidal
Nobody needs me here,suicidal
My pain is never going to end,suicidal
I'm so tired of hurting,suicidal
I want peace and this is the only way,suicidal
I'm a failure at everything,suicidal
Life has beaten me completely,suicidal
I can't take another day of this,suicidal
I'm going to make the pain stop tonight,suicidal
No future, no hope, no point,suicidal
I feel like trash nobody wants,suicidal
I'm ready to be nothing,suicidal
The loneliness is killing me anyway,suicidal
I don't want anyone to find me tomorrow,suicidal
I'm planning my exit,suicidal
Nothing will ever get better,suicidal
I hate looking in the mirror,suicidal
My heart is already dead,suicidal
I'm just counting down the days,suicidal
I want to fade away quietly,suicidal
There is only darkness ahead,suicidal
I'm too much for this world,suicidal
I don't deserve happiness,suicidal
Every breath feels pointless,suicidal
I'm going to set myself free tonight,suicidal
The voices say it's time,suicidal
I can't pretend anymore,suicidal
My story ends here,suicidal
I'm worthless and always will be,suicidal
No one will miss me,suicidal
I want the silence forever,suicidal
I'm tired of being a disappointment,suicidal
Everything hurts too much to stay,suicidal
I feel ready to leave this place,suicidal
There is no light left in me,suicidal
I'm going to do it while everyone sleeps,suicidal
My life is a waste of space,suicidal
I just want it to be over,suicidal
I'm broken beyond repair,suicidal
Nobody would cry for me,suicidal
The pain is louder than everything else,suicidal
I'm choosing to stop the suffering,suicidal
I don't want to exist another second,suicidal
My presence only causes problems,suicidal
I'm at peace with saying goodbye,suicidal
There is nothing worth saving here,suicidal
I feel like I'm already dead inside,suicidal
I'm going to make the thoughts stop,suicidal
This is my final message,suicidal
I can't carry this weight anymore,suicidal
Everything hurts so much,suffering
